time_s,cwnd,rtt_ms,srtt_ms,retransmissions,timeouts,acked_total,bandwidth_halved,action,state,reward,epsilon
0.202867,3.245,19.184,101.964,0,0,4,False,,,0.0000,0.0000
0.403812,4.026,10.775,91.143,1,1,9,False,,,0.0000,0.0000
0.505411,6.052,50.971,53.347,0,0,19,False,,,0.0000,0.0000
0.606456,7.404,61.157,55.889,0,0,28,False,,,0.0000,0.0000
0.707327,8.659,71.868,65.790,0,0,38,False,,,0.0000,0.0000
0.808878,9.752,84.830,77.828,0,0,48,False,,,0.0000,0.0000
0.910118,10.639,92.231,87.587,0,0,57,False,,,0.0000,0.0000
1.010375,11.280,103.374,95.053,0,0,64,False,,,0.0000,0.0000
1.112996,12.000,123.831,129.074,4,1,75,False,,,0.0000,0.0000
1.214868,7.224,113.775,98.280,1,0,83,False,,,0.0000,0.0000
1.317554,8.266,82.475,101.534,0,0,91,False,,,0.0000,0.0000
1.419487,9.405,82.278,85.361,0,0,101,False,,,0.0000,0.0000
1.519521,10.419,91.891,88.395,0,0,111,False,,,0.0000,0.0000
1.621405,11.253,107.763,98.355,0,0,120,False,,,0.0000,0.0000
1.722954,12.112,115.647,105.088,0,0,130,False,,,0.0000,0.0000
1.824381,12.836,113.833,111.606,0,0,139,False,,,0.0000,0.0000
1.926206,3.267,124.704,114.863,2,0,142,False,,,0.0000,0.0000
2.028436,10.000,180.657,123.754,5,4,151,True,,,0.0000,0.0000
2.130553,1.000,180.657,123.754,6,4,151,True,,,0.0000,0.0000
2.232451,1.000,180.657,123.754,7,6,151,True,,,0.0000,0.0000
2.334879,5.500,43.504,57.654,5,3,161,True,,,0.0000,0.0000
2.435195,2.750,43.504,57.654,1,0,161,True,,,0.0000,0.0000
2.536380,1.000,43.504,57.654,6,4,161,True,,,0.0000,0.0000
2.637896,2.500,162.539,68.882,1,0,163,True,,,0.0000,0.0000
2.739356,2.239,20.391,88.403,1,1,166,True,,,0.0000,0.0000
