time_s,cwnd,rtt_ms,srtt_ms,retransmissions,timeouts,acked_total,bandwidth_halved,action,state,reward,epsilon
0.272420,2.000,270.133,270.133,0,0,1,False,cwnd+1,rtt_down|no_loss,0.8993,0.0000
0.552012,3.000,277.203,271.017,0,0,2,False,cwnd+1,rtt_stable|no_loss,0.8640,0.0000
0.653737,4.000,20.811,211.312,0,0,4,False,cwnd+1,rtt_down|no_loss,4.0000,0.0000
0.884702,2.000,20.811,211.312,1,0,4,False,cwnd/2,rtt_stable|loss,-3.0000,0.0000
0.986729,1.000,20.548,86.813,2,2,14,False,cwnd/2,rtt_down|loss,-16.2965,0.0000
1.090027,2.000,10.496,63.689,0,0,18,False,cwnd+1,rtt_down|no_loss,8.0000,0.0000
1.543293,2.000,450.875,112.088,0,0,19,False,hold,rtt_up|no_loss,-0.0044,0.0000
1.644941,3.000,22.239,52.735,0,0,27,False,cwnd+1,rtt_down|no_loss,16.0000,0.0000
1.745588,4.000,32.842,39.282,0,0,35,False,cwnd+1,rtt_down|no_loss,16.0000,0.0000
1.847483,5.000,47.033,42.177,0,0,44,False,cwnd+1,rtt_stable|no_loss,18.0000,0.0000
1.947851,5.000,61.377,50.710,0,0,52,False,hold,rtt_up|no_loss,15.9843,0.0000
2.049749,6.000,55.928,55.703,0,0,61,False,cwnd+1,rtt_stable|no_loss,17.9570,0.0000
2.537288,3.000,386.679,114.411,1,0,69,False,cwnd/2,rtt_up|loss,12.6571,0.0000
2.637445,4.000,31.961,62.201,0,0,77,False,cwnd+1,rtt_down|no_loss,16.0000,0.0000
2.739355,5.000,49.804,49.872,0,0,86,False,cwnd+1,rtt_down|no_loss,18.0000,0.0000
2.840823,6.000,58.596,52.716,0,0,94,False,cwnd+1,rtt_stable|no_loss,15.9857,0.0000
2.941280,6.000,74.338,61.725,0,0,102,False,hold,rtt_up|no_loss,15.9264,0.0000
3.043235,7.000,72.375,68.663,0,0,111,False,cwnd+1,rtt_stable|no_loss,17.8904,0.0000
3.143709,8.000,83.637,71.956,0,0,119,False,cwnd+1,rtt_stable|no_loss,15.8887,0.0000
3.244065,8.000,91.607,81.799,0,0,127,False,hold,rtt_up|no_loss,15.8176,0.0000
3.344642,9.000,97.770,91.110,0,0,135,False,cwnd+1,rtt_stable|no_loss,15.7704,0.0000
3.444768,10.000,95.163,92.773,0,0,144,False,cwnd+1,rtt_stable|no_loss,17.7817,0.0000
3.545010,5.000,95.163,92.773,2,0,144,False,cwnd/2,rtt_stable|loss,-6.0000,0.0000
3.645612,6.000,125.616,125.056,2,1,153,True,cwnd+1,rtt_up|loss,-17.7562,0.2500
3.746386,7.000,97.809,123.639,1,0,159,True,cwnd+1,rtt_stable|loss,6.1016,0.2500
3.846717,8.000,121.522,115.492,0,0,162,True,cwnd+1,rtt_stable|no_loss,5.5323,0.2500
3.947731,8.000,187.181,137.462,0,0,166,True,hold,rtt_up|no_loss,6.8339,0.2500
4.050027,9.000,182.285,150.256,0,0,170,True,cwnd+1,rtt_stable|no_loss,6.8266,0.2500
