algorithm,time_s,cwnd
aimd,0.000000,1.000000
aimd,0.000213,2.000000
aimd,0.055195,2.500000
aimd,0.105280,2.900000
aimd,0.155261,3.244828
aimd,0.205243,3.553010
aimd,0.255259,3.834462
aimd,0.305270,4.095255
aimd,0.355279,4.339440
aimd,0.403841,4.569884
aimd,0.455249,4.788708
aimd,0.487064,2.394354
aimd,0.505275,2.812003
aimd,0.512206,1.406002
aimd,0.555277,2.117238
aimd,0.555741,1.058619
aimd,0.605269,2.003246
aimd,0.611395,1.001623
aimd,0.651398,2.000003
aimd,0.761988,1.000001
aimd,0.805292,1.000000
aimd,0.855202,2.000000
aimd,0.905313,2.500000
aimd,1.011032,1.250000
aimd,1.055251,1.000000
aimd,1.105257,2.000000
aimd,1.154272,2.500000
aimd,1.264378,1.250000
aimd,1.305268,1.000000
aimd,1.355237,2.000000
aimd,1.405276,2.500000
aimd,1.511334,1.250000
aimd,1.555247,1.000000
aimd,1.605299,2.000000
aimd,1.655239,2.500000
aimd,1.766248,1.250000
aimd,1.805286,1.000000
aimd,1.855290,2.000000
aimd,1.905262,2.500000
aimd,2.012761,1.250000
aimd,2.050576,1.000000
aimd,2.102064,2.000000
aimd,2.150847,2.500000
aimd,2.257164,1.250000
aimd,2.300464,1.000000
aimd,2.350978,2.000000
aimd,2.405162,2.500000
aimd,2.510053,1.250000
aimd,2.554250,1.000000
aimd,2.605286,2.000000
aimd,2.652702,2.500000
aimd,2.763969,1.250000
aimd,2.803893,1.000000
aimd,2.852082,2.000000
aimd,2.902032,2.500000
aimd,3.010807,1.250000
aimd,3.053787,1.000000
aimd,3.105289,2.000000
aimd,3.152743,2.500000
aimd,3.262062,1.250000
aimd,3.300756,1.000000
aimd,3.352267,2.000000
aimd,3.401033,2.500000
aimd,3.511358,1.250000
aimd,3.555264,1.000000
aimd,3.600991,2.000000
aimd,3.655261,2.500000
aimd,3.759868,1.250000
aimd,3.805302,1.000000
aimd,3.852529,2.000000
aimd,3.900988,2.500000
aimd,4.009897,1.250000
aimd,4.055308,1.000000
aimd,4.103081,2.000000
aimd,4.155264,2.500000
aimd,4.262946,1.250000
aimd,4.300889,1.000000
aimd,4.351415,2.000000
aimd,4.405312,2.500000
aimd,4.510933,1.250000
aimd,4.555247,1.000000
aimd,4.605246,2.000000
aimd,4.653791,2.500000
aimd,4.765150,1.250000
aimd,4.804763,1.000000
aimd,4.855351,2.000000
aimd,4.902851,2.500000
aimd,5.012829,1.250000
aimd,5.052341,1.000000
aimd,5.100749,2.000000
aimd,5.155283,2.500000
aimd,5.259867,1.250000
aimd,5.305302,1.000000
aimd,5.355234,2.000000
aimd,5.405300,2.500000
aimd,5.513984,1.250000
aimd,5.551839,1.000000
aimd,5.605277,2.000000
aimd,5.655261,2.500000
aimd,5.764001,1.250000
aimd,5.802136,1.000000
aimd,5.855300,2.000000
aimd,5.901380,2.500000
aimd,6.011439,1.250000
aimd,6.052603,1.000000
aimd,6.105267,2.000000
aimd,6.155399,2.500000
aimd,6.258903,1.250000
aimd,6.301040,1.000000
aimd,6.355314,2.000000
aimd,6.405367,2.500000
aimd,6.606539,2.500000
