algorithm,time_s,cwnd
q_learning,0.000000,1.000000
q_learning,0.082219,2.000000
q_learning,0.163372,1.000000
q_learning,0.652238,2.000000
q_learning,0.734015,3.000000
q_learning,0.814987,1.500000
q_learning,0.899528,1.000000
q_learning,1.067545,2.000000
q_learning,1.234136,3.000000
q_learning,1.315758,1.500000
q_learning,1.400551,2.500000
q_learning,1.500441,3.500000
q_learning,1.604055,4.500000
q_learning,1.989371,5.500000
q_learning,2.348190,6.500000
q_learning,2.567193,7.500000
q_learning,2.784328,3.750000
q_learning,3.011496,1.875000
q_learning,3.256305,1.875000
