run_id,mode,time_s,cwnd,rtt_ms
20260608-224402-qlearning,qlearning,0.000000,8.000000,
20260608-224402-qlearning,qlearning,0.171000,8.000000,167.600
20260608-224402-qlearning,qlearning,0.187000,8.000000,
20260608-224402-qlearning,qlearning,0.203000,8.000000,
20260608-224402-qlearning,qlearning,0.234000,8.000000,20.246
20260608-224402-qlearning,qlearning,0.250000,8.000000,47.163
20260608-224402-qlearning,qlearning,0.265000,8.000000,58.772
20260608-224402-qlearning,qlearning,0.281000,8.000000,78.169
20260608-224402-qlearning,qlearning,0.296000,8.000000,88.752
20260608-224402-qlearning,qlearning,0.328000,8.000000,113.806
20260608-224402-qlearning,qlearning,0.359000,8.000000,133.214
20260608-224402-qlearning,qlearning,0.375000,8.000000,
20260608-224402-qlearning,qlearning,0.390000,8.000000,
20260608-224402-qlearning,qlearning,0.406000,8.000000,
20260608-224402-qlearning,qlearning,0.421000,8.000000,
20260608-224402-qlearning,qlearning,0.437000,8.000000,
20260608-224402-qlearning,qlearning,0.453000,8.000000,
20260608-224402-qlearning,qlearning,0.468000,8.000000,
20260608-224402-qlearning,qlearning,0.484000,8.000000,
20260608-224402-qlearning,qlearning,0.515000,8.000000,
20260608-224402-qlearning,qlearning,0.531000,8.000000,155.609
20260608-224402-qlearning,qlearning,0.546000,8.000000,
20260608-224402-qlearning,qlearning,0.562000,8.000000,
20260608-224402-qlearning,qlearning,0.593000,8.000000,67.816
20260608-224402-qlearning,qlearning,0.609000,8.000000,88.067
20260608-224402-qlearning,qlearning,0.640000,8.000000,111.957
20260608-224402-qlearning,qlearning,0.656000,4.000000,134.497
20260608-224402-qlearning,qlearning,0.687000,4.000000,162.281
20260608-224402-qlearning,qlearning,0.718000,4.000000,185.990
20260608-224402-qlearning,qlearning,0.734000,4.000000,
20260608-224402-qlearning,qlearning,0.750000,4.000000,
20260608-224402-qlearning,qlearning,0.781000,5.000000,
20260608-224402-qlearning,qlearning,0.796000,5.000000,
20260608-224402-qlearning,qlearning,0.812000,5.000000,177.247
20260608-224402-qlearning,qlearning,0.828000,5.000000,
20260608-224402-qlearning,qlearning,0.843000,5.000000,
20260608-224402-qlearning,qlearning,0.859000,5.000000,
20260608-224402-qlearning,qlearning,0.890000,5.000000,67.717
20260608-224402-qlearning,qlearning,0.906000,5.000000,86.839
20260608-224402-qlearning,qlearning,0.921000,5.000000,
20260608-224402-qlearning,qlearning,0.937000,5.000000,107.083
20260608-224402-qlearning,qlearning,0.953000,5.000000,133.356
20260608-224402-qlearning,qlearning,0.968000,5.000000,
20260608-224402-qlearning,qlearning,0.984000,5.000000,161.576
20260608-224402-qlearning,qlearning,1.000000,5.000000,110.912
20260608-224402-qlearning,qlearning,1.015000,6.000000,
20260608-224402-qlearning,qlearning,1.031000,6.000000,116.125
20260608-224402-qlearning,qlearning,1.046000,6.000000,110.323
20260608-224402-qlearning,qlearning,1.078000,6.000000,113.602
20260608-224402-qlearning,qlearning,1.109000,6.000000,
20260608-224402-qlearning,qlearning,1.125000,6.000000,
20260608-224402-qlearning,qlearning,1.156000,6.000000,
20260608-224402-qlearning,qlearning,1.171000,6.000000,
20260608-224402-qlearning,qlearning,1.187000,6.000000,141.296
20260608-224402-qlearning,qlearning,1.203000,6.000000,
20260608-224402-qlearning,qlearning,1.218000,6.000000,
20260608-224402-qlearning,qlearning,1.234000,6.000000,
20260608-224402-qlearning,qlearning,1.250000,7.000000,
20260608-224402-qlearning,qlearning,1.265000,7.000000,
20260608-224402-qlearning,qlearning,1.281000,7.000000,
20260608-224402-qlearning,qlearning,1.296000,7.000000,
20260608-224402-qlearning,qlearning,1.312000,7.000000,
20260608-224402-qlearning,qlearning,1.328000,7.000000,88.962
20260608-224402-qlearning,qlearning,1.359000,7.000000,
20260608-224402-qlearning,qlearning,1.375000,7.000000,42.145
20260608-224402-qlearning,qlearning,1.390000,8.000000,
20260608-224402-qlearning,qlearning,1.406000,8.000000,77.617
20260608-224402-qlearning,qlearning,1.421000,8.000000,
20260608-224402-qlearning,qlearning,1.453000,8.000000,
20260608-224402-qlearning,qlearning,1.468000,8.000000,
20260608-224402-qlearning,qlearning,1.484000,8.000000,
20260608-224402-qlearning,qlearning,1.500000,8.000000,
20260608-224402-qlearning,qlearning,1.515000,4.000000,
20260608-224402-qlearning,qlearning,1.546000,4.000000,
20260608-224402-qlearning,qlearning,1.562000,4.000000,142.290
20260608-224402-qlearning,qlearning,1.578000,4.000000,
20260608-224402-qlearning,qlearning,1.593000,4.000000,
20260608-224402-qlearning,qlearning,1.625000,5.000000,11.529
20260608-224402-qlearning,qlearning,1.656000,5.000000,
20260608-224402-qlearning,qlearning,1.687000,5.000000,
20260608-224402-qlearning,qlearning,1.703000,5.000000,
20260608-224402-qlearning,qlearning,1.734000,5.000000,
20260608-224402-qlearning,qlearning,1.750000,6.000000,
20260608-224402-qlearning,qlearning,1.781000,6.000000,147.264
20260608-224402-qlearning,qlearning,1.796000,6.000000,54.556
20260608-224402-qlearning,qlearning,1.828000,6.000000,
20260608-224402-qlearning,qlearning,1.859000,7.000000,74.598
20260608-224402-qlearning,qlearning,1.875000,7.000000,91.685
20260608-224402-qlearning,qlearning,1.890000,7.000000,108.701
20260608-224402-qlearning,qlearning,1.906000,7.000000,134.330
20260608-224402-qlearning,qlearning,1.921000,7.000000,
20260608-224402-qlearning,qlearning,1.937000,7.000000,150.409
20260608-224402-qlearning,qlearning,1.953000,7.000000,
20260608-224402-qlearning,qlearning,1.968000,7.000000,
20260608-224402-qlearning,qlearning,1.984000,7.000000,
20260608-224402-qlearning,qlearning,2.015000,7.000000,
20260608-224402-qlearning,qlearning,2.031000,7.000000,
20260608-224402-qlearning,qlearning,2.062000,8.000000,
20260608-224402-qlearning,qlearning,2.078000,8.000000,147.315
20260608-224402-qlearning,qlearning,2.093000,8.000000,
20260608-224402-qlearning,qlearning,2.125000,8.000000,59.172
20260608-224402-qlearning,qlearning,2.140000,8.000000,58.159
20260608-224402-qlearning,qlearning,2.171000,9.000000,98.282
20260608-224402-qlearning,qlearning,2.187000,9.000000,
20260608-224402-qlearning,qlearning,2.203000,9.000000,115.457
20260608-224402-qlearning,qlearning,2.218000,9.000000,141.768
20260608-224402-qlearning,qlearning,2.234000,9.000000,156.616
20260608-224402-qlearning,qlearning,2.250000,9.000000,
20260608-224402-qlearning,qlearning,2.265000,9.000000,184.310
20260608-224402-qlearning,qlearning,2.281000,9.000000,163.568
20260608-224402-qlearning,qlearning,2.296000,9.000000,
