run_id,mode,time_s,cwnd,rtt_ms
20260601-163642-fixed,fixed,0.000000,8.000000,
20260601-163642-fixed,fixed,0.109000,8.000000,104.062
20260601-163642-fixed,fixed,0.203000,8.000000,1.601
20260601-163642-fixed,fixed,0.219000,8.000000,21.595
20260601-163642-fixed,fixed,0.234000,8.000000,32.261
20260601-163642-fixed,fixed,0.250000,8.000000,53.691
20260601-163642-fixed,fixed,0.266000,8.000000,156.805
20260601-163642-fixed,fixed,0.281000,8.000000,73.955
20260601-163642-fixed,fixed,0.297000,8.000000,73.966
20260601-163642-fixed,fixed,0.313000,8.000000,73.534
20260601-163642-fixed,fixed,0.328000,8.000000,73.859
20260601-163642-fixed,fixed,0.344000,8.000000,83.840
20260601-163642-fixed,fixed,0.359000,8.000000,83.645
20260601-163642-fixed,fixed,0.375000,8.000000,82.618
20260601-163642-fixed,fixed,0.391000,8.000000,82.259
20260601-163642-fixed,fixed,0.406000,8.000000,81.992
20260601-163642-fixed,fixed,0.422000,8.000000,81.538
20260601-163642-fixed,fixed,0.438000,8.000000,80.445
20260601-163642-fixed,fixed,0.453000,8.000000,80.610
20260601-163642-fixed,fixed,0.469000,8.000000,80.695
20260601-163642-fixed,fixed,0.484000,8.000000,80.720
20260601-163642-fixed,fixed,0.500000,8.000000,80.765
20260601-163642-fixed,fixed,0.516000,8.000000,80.710
20260601-163642-fixed,fixed,0.531000,8.000000,80.115
20260601-163642-fixed,fixed,0.547000,8.000000,80.205
20260601-163642-fixed,fixed,0.563000,8.000000,79.649
20260601-163642-fixed,fixed,0.578000,8.000000,79.252
20260601-163642-fixed,fixed,0.594000,8.000000,78.808
20260601-165128-fixed,fixed,0.000000,8.000000,
20260601-165128-fixed,fixed,0.109000,8.000000,119.488
20260601-165128-fixed,fixed,0.125000,8.000000,5.007
20260601-165128-fixed,fixed,0.140000,8.000000,9.028
20260601-165128-fixed,fixed,0.156000,8.000000,8.401
20260601-165128-fixed,fixed,0.172000,8.000000,
20260601-165128-fixed,fixed,0.187000,8.000000,
20260601-165128-fixed,fixed,0.203000,8.000000,
20260601-165128-fixed,fixed,0.219000,8.000000,
20260601-165128-fixed,fixed,0.234000,8.000000,
20260601-165128-fixed,fixed,0.250000,8.000000,
20260601-165128-fixed,fixed,0.265000,8.000000,
20260601-165128-fixed,fixed,0.281000,8.000000,
20260601-165128-fixed,fixed,0.297000,8.000000,
20260601-165128-fixed,fixed,0.312000,8.000000,
20260601-165128-fixed,fixed,0.328000,8.000000,
20260601-165128-fixed,fixed,0.344000,8.000000,
20260601-165128-fixed,fixed,0.359000,8.000000,
20260601-165128-fixed,fixed,0.375000,8.000000,31.444
20260601-165128-fixed,fixed,0.390000,8.000000,
20260601-165128-fixed,fixed,0.406000,8.000000,
20260601-165128-fixed,fixed,0.422000,8.000000,
20260601-165128-fixed,fixed,0.437000,8.000000,
20260601-165128-fixed,fixed,0.453000,8.000000,21.329
20260601-165128-fixed,fixed,0.469000,8.000000,
20260601-165128-fixed,fixed,0.500000,8.000000,
20260601-165128-fixed,fixed,0.562000,8.000000,
20260601-165128-fixed,fixed,0.625000,8.000000,
20260601-165128-fixed,fixed,0.656000,8.000000,10.839
20260601-165128-fixed,fixed,0.672000,8.000000,21.182
20260601-165128-fixed,fixed,0.687000,8.000000,41.782
20260601-165128-fixed,fixed,0.703000,8.000000,245.554
20260601-165128-fixed,fixed,0.719000,8.000000,62.811
20260601-165128-fixed,fixed,0.734000,8.000000,62.223
20260601-165128-fixed,fixed,0.750000,8.000000,62.223
20260601-165128-fixed,fixed,0.765000,8.000000,62.252
20260601-165128-fixed,fixed,0.781000,8.000000,83.673
20260601-165128-fixed,fixed,0.797000,8.000000,82.658
20260601-165128-fixed,fixed,0.812000,8.000000,82.482
20260601-165128-fixed,fixed,0.828000,8.000000,82.031
20260601-165128-fixed,fixed,0.844000,8.000000,81.558
20260601-165128-fixed,fixed,0.859000,8.000000,81.269
20260601-165128-fixed,fixed,0.875000,8.000000,80.630
20260601-165128-fixed,fixed,0.890000,8.000000,79.833
20260601-165128-fixed,fixed,0.906000,8.000000,79.612
20260601-165128-fixed,fixed,0.922000,8.000000,79.439
20260601-165128-fixed,fixed,0.937000,8.000000,79.578
20260601-165128-fixed,fixed,0.953000,8.000000,79.410
20260601-165128-fixed,fixed,0.969000,8.000000,84.074
20260601-165128-fixed,fixed,0.984000,8.000000,84.375
20260601-165128-fixed,fixed,1.000000,8.000000,83.755
20260601-165128-fixed,fixed,1.015000,8.000000,83.804
20260601-165128-fixed,fixed,1.031000,8.000000,83.794
20260601-165128-fixed,fixed,1.047000,8.000000,83.875
20260601-165128-fixed,fixed,1.062000,8.000000,83.941
20260601-165128-fixed,fixed,1.078000,8.000000,82.839
20260601-165128-fixed,fixed,1.094000,8.000000,82.596
20260601-165128-fixed,fixed,1.109000,8.000000,81.439
