algorithm,time_s,cwnd
aimd,0.000000,1.000000
aimd,0.000199,2.000000
aimd,0.011143,2.500000
aimd,0.022452,2.900000
aimd,0.032117,3.244828
aimd,0.042188,3.553010
aimd,0.051661,3.834462
aimd,0.062343,4.095255
aimd,0.072189,4.339440
aimd,0.082184,4.569884
aimd,0.091719,4.788708
aimd,0.100923,4.997533
aimd,0.112501,5.197631
aimd,0.122109,5.390027
aimd,0.130699,5.575555
aimd,0.142660,5.754909
aimd,0.152064,5.928674
aimd,0.161778,6.097345
aimd,0.172286,6.261351
aimd,0.180561,6.421061
aimd,0.192612,6.576799
aimd,0.202077,6.728848
aimd,0.211647,6.877462
aimd,0.222327,7.022865
aimd,0.230533,7.165257
aimd,0.242582,7.304819
aimd,0.252079,7.441715
aimd,0.261557,7.576093
aimd,0.272357,7.708087
aimd,0.280469,7.837821
aimd,0.292634,7.965407
aimd,0.302059,8.090950
aimd,0.312222,8.214545
aimd,0.322217,8.336280
aimd,0.330575,8.456238
aimd,0.342592,8.574494
aimd,0.352075,8.691119
aimd,0.362193,8.806179
aimd,0.372191,8.919735
aimd,0.382283,9.031846
aimd,0.391703,9.142565
aimd,0.592874,9.142565
