algorithm,time_s,cwnd
aimd,0.000000,1.000000
aimd,0.000254,2.000000
aimd,0.011143,2.500000
aimd,0.022467,2.900000
aimd,0.032147,3.244828
aimd,0.040773,3.553010
aimd,0.052521,3.834462
aimd,0.062097,4.095255
aimd,0.072249,4.339440
aimd,0.082195,4.569884
aimd,0.090812,4.788708
aimd,0.102592,4.997533
aimd,0.110702,5.197631
aimd,0.122512,5.390027
aimd,0.132126,5.575555
aimd,0.140790,5.754909
aimd,0.152561,5.928674
aimd,0.162048,6.097345
aimd,0.172248,6.261351
aimd,0.182179,6.421061
aimd,0.190846,6.576799
aimd,0.391906,6.576799
